Date;ISIN;Indexvalue
13.07.2000;CH0023524637;13.1733
14.07.2000;CH0023524637;13.1878
17.07.2000;CH0023524637;13.3825
18.07.2000;CH0023524637;13.4036
19.07.2000;CH0023524637;13.4348
20.07.2000;CH0023524637;13.5353
21.07.2000;CH0023524637;13.4703
24.07.2000;CH0023524637;13.2506
25.07.2000;CH0023524637;12.9778
26.07.2000;CH0023524637;13.2199
27.07.2000;CH0023524637;13.2849
28.07.2000;CH0023524637;13.2332
31.07.2000;CH0023524637;13.2234
01.08.2000;CH0023524637;13.2315
02.08.2000;CH0023524637;12.6573
03.08.2000;CH0023524637;13.6577
04.08.2000;CH0023524637;13.6697
07.08.2000;CH0023524637;13.2473
08.08.2000;CH0023524637;13.2283
09.08.2000;CH0023524637;13.2173
10.08.2000;CH0023524637;13.5741
11.08.2000;CH0023524637;13.3262
14.08.2000;CH0023524637;13.2434
15.08.2000;CH0023524637;14.804
16.08.2000;CH0023524637;14.6967
17.08.2000;CH0023524637;14.777
18.08.2000;CH0023524637;14.6582
21.08.2000;CH0023524637;14.5259
22.08.2000;CH0023524637;14.5237
23.08.2000;CH0023524637;14.2149
24.08.2000;CH0023524637;14.2911
25.08.2000;CH0023524637;14.3481
28.08.2000;CH0023524637;14.0427
29.08.2000;CH0023524637;14.1938
30.08.2000;CH0023524637;14.3567
31.08.2000;CH0023524637;14.3506
01.09.2000;CH0023524637;14.29
04.09.2000;CH0023524637;14.3189
05.09.2000;CH0023524637;14.4061
06.09.2000;CH0023524637;14.4906
07.09.2000;CH0023524637;14.0847
08.09.2000;CH0023524637;14.2783
11.09.2000;CH0023524637;14.2614
12.09.2000;CH0023524637;14.4226
13.09.2000;CH0023524637;14.4704
14.09.2000;CH0023524637;14.5071
15.09.2000;CH0023524637;14.5243
18.09.2000;CH0023524637;14.6401
19.09.2000;CH0023524637;14.7124
20.09.2000;CH0023524637;14.7889
21.09.2000;CH0023524637;14.7838
22.09.2000;CH0023524637;14.7035
25.09.2000;CH0023524637;14.9198
26.09.2000;CH0023524637;16.4151
27.09.2000;CH0023524637;16.4823
28.09.2000;CH0023524637;16.4949
29.09.2000;CH0023524637;16.6666
02.10.2000;CH0023524637;16.6223
03.10.2000;CH0023524637;16.5721
04.10.2000;CH0023524637;16.5412
05.10.2000;CH0023524637;16.453
06.10.2000;CH0023524637;16.522
09.10.2000;CH0023524637;16.7395
10.10.2000;CH0023524637;16.9135
11.10.2000;CH0023524637;16.836
12.10.2000;CH0023524637;16.8671
13.10.2000;CH0023524637;16.9902
16.10.2000;CH0023524637;17.2343
17.10.2000;CH0023524637;17.2853
18.10.2000;CH0023524637;17.355
19.10.2000;CH0023524637;17.4754
20.10.2000;CH0023524637;17.4666
23.10.2000;CH0023524637;17.4733
24.10.2000;CH0023524637;17.5155
25.10.2000;CH0023524637;17.5005
26.10.2000;CH0023524637;17.2231
27.10.2000;CH0023524637;17.2923
30.10.2000;CH0023524637;17.121
31.10.2000;CH0023524637;17.1368
01.11.2000;CH0023524637;17.0296
02.11.2000;CH0023524637;16.9251
03.11.2000;CH0023524637;16.8747
06.11.2000;CH0023524637;16.8273
07.11.2000;CH0023524637;16.8893
08.11.2000;CH0023524637;16.8145
09.11.2000;CH0023524637;16.7826
10.11.2000;CH0023524637;16.7842
13.11.2000;CH0023524637;16.9836
14.11.2000;CH0023524637;16.9237
15.11.2000;CH0023524637;16.8151
16.11.2000;CH0023524637;16.9565
17.11.2000;CH0023524637;16.7515
20.11.2000;CH0023524637;16.8502
21.11.2000;CH0023524637;16.8289
22.11.2000;CH0023524637;16.8345
23.11.2000;CH0023524637;16.8455
24.11.2000;CH0023524637;16.7799
27.11.2000;CH0023524637;16.733
28.11.2000;CH0023524637;16.7358
29.11.2000;CH0023524637;17.1816
30.11.2000;CH0023524637;17.1826
01.12.2000;CH0023524637;17.002
04.12.2000;CH0023524637;17.3855
05.12.2000;CH0023524637;17.4121
06.12.2000;CH0023524637;17.3999
07.12.2000;CH0023524637;17.3371
08.12.2000;CH0023524637;17.1602
11.12.2000;CH0023524637;16.9344
12.12.2000;CH0023524637;16.9675
13.12.2000;CH0023524637;16.9684
14.12.2000;CH0023524637;16.9648
15.12.2000;CH0023524637;16.5411
18.12.2000;CH0023524637;10.2083
19.12.2000;CH0023524637;11.6668
20.12.2000;CH0023524637;11.8114
21.12.2000;CH0023524637;11.8962
22.12.2000;CH0023524637;11.7953
27.12.2000;CH0023524637;11.6394
28.12.2000;CH0023524637;11.7614
29.12.2000;CH0023524637;12.6921
02.01.2001;CH0023524637;12.7139
03.01.2001;CH0023524637;12.8648
04.01.2001;CH0023524637;12.8269
05.01.2001;CH0023524637;12.9286
08.01.2001;CH0023524637;12.9261
09.01.2001;CH0023524637;12.9403
10.01.2001;CH0023524637;13.0537
11.01.2001;CH0023524637;13.0329
12.01.2001;CH0023524637;13.0409
15.01.2001;CH0023524637;13.0388
16.01.2001;CH0023524637;13.0559
17.01.2001;CH0023524637;15.4319
18.01.2001;CH0023524637;15.4729
19.01.2001;CH0023524637;15.4408
22.01.2001;CH0023524637;15.4833
23.01.2001;CH0023524637;15.484
24.01.2001;CH0023524637;15.3974
25.01.2001;CH0023524637;15.3836
26.01.2001;CH0023524637;16.5402
29.01.2001;CH0023524637;16.5441
30.01.2001;CH0023524637;16.5494
31.01.2001;CH0023524637;16.404
01.02.2001;CH0023524637;16.3929
02.02.2001;CH0023524637;16.405
05.02.2001;CH0023524637;16.2991
06.02.2001;CH0023524637;16.2452
07.02.2001;CH0023524637;16.1144
08.02.2001;CH0023524637;16.029
09.02.2001;CH0023524637;15.7785
12.02.2001;CH0023524637;15.7664
13.02.2001;CH0023524637;15.652
14.02.2001;CH0023524637;15.6951
15.02.2001;CH0023524637;15.6737
16.02.2001;CH0023524637;15.6081
19.02.2001;CH0023524637;15.3055
20.02.2001;CH0023524637;14.882
21.02.2001;CH0023524637;15.0493
22.02.2001;CH0023524637;15.189
23.02.2001;CH0023524637;15.1637
26.02.2001;CH0023524637;15.1906
27.02.2001;CH0023524637;15.07
28.02.2001;CH0023524637;15.0925
01.03.2001;CH0023524637;14.9213
02.03.2001;CH0023524637;14.9923
05.03.2001;CH0023524637;15.137
06.03.2001;CH0023524637;14.927
